age,monthly_budget_usd,collection_size,monthly_purchases,resale_interest,social_media_engagement,blind_box_risk_tolerance,favorite_series,collector_type,region,will_buy_next_release
39,123.65,19,2,4,9,9,Labubu,trend-chaser,North America,1
32,77.41,22,3,4,7,3,Molly,trend-chaser,East Asia,1
23,116.22,26,1,9,2,5,Dimoo,casual,Europe,0
50,110.8,24,1,6,3,4,Crybaby,casual,Southeast Asia,1
48,112.05,18,2,7,9,9,Molly,trend-chaser,Southeast Asia,1
17,155.63,27,4,3,6,7,Crybaby,casual,East Asia,1
44,78.5,21,5,4,9,5,Dimoo,completionist,Oceania,1
19,88.0,23,1,5,8,10,Skullpanda,casual,North America,1
45,101.35,13,3,8,6,6,Skullpanda,completionist,North America,1
49,89.08,12,4,2,1,5,Labubu,trend-chaser,North America,1
21,77.48,28,2,0,10,10,Dimoo,completionist,East Asia,1
33,59.57,24,6,5,2,4,Labubu,casual,North America,0
20,86.38,23,2,8,2,4,Skullpanda,completionist,North America,0
38,46.67,22,4,8,1,4,Labubu,completionist,Oceania,1
53,37.73,27,1,8,0,2,Crybaby,casual,North America,0
19,54.47,26,4,4,4,3,Molly,reseller,North America,1
31,111.52,21,2,2,9,1,Skullpanda,completionist,Europe,0
54,94.3,16,1,7,9,8,Molly,casual,North America,1
28,111.98,27,1,0,5,6,Labubu,trend-chaser,North America,0
21,64.91,26,2,9,3,10,Molly,display-focused,North America,1
35,128.91,26,5,7,3,6,Hirono,casual,North America,1
36,48.61,28,2,5,10,0,Dimoo,casual,Southeast Asia,1
42,55.23,15,1,2,0,6,Skullpanda,display-focused,Europe,0
28,127.96,24,4,2,0,1,Hirono,display-focused,East Asia,1
54,91.57,14,2,10,0,0,Labubu,casual,East Asia,0
36,112.26,25,2,0,9,7,Hirono,reseller,Southeast Asia,1
27,94.46,28,3,0,0,0,Labubu,completionist,Southeast Asia,1
54,68.47,19,4,3,10,4,Hirono,casual,Europe,1
52,52.8,25,2,2,2,9,Crybaby,completionist,North America,1
35,40.91,21,0,7,6,2,Hirono,reseller,North America,0
16,170.04,31,4,0,10,7,Labubu,display-focused,North America,1
39,44.32,15,2,8,1,4,Skullpanda,trend-chaser,Southeast Asia,0
38,148.15,26,5,8,3,1,Hirono,casual,East Asia,1
21,89.56,24,5,2,8,2,Skullpanda,casual,North America,1
41,95.63,27,2,6,8,0,Molly,casual,North America,1
49,93.12,18,3,7,9,1,Skullpanda,display-focused,Southeast Asia,1
20,106.53,30,4,9,0,1,Labubu,display-focused,East Asia,1
44,62.52,22,4,8,8,9,Skullpanda,casual,North America,1
21,36.09,25,2,10,3,8,Labubu,completionist,Southeast Asia,1
45,67.92,22,5,1,6,3,Dimoo,trend-chaser,East Asia,0
32,102.88,12,4,6,9,7,Molly,reseller,Europe,1
16,55.43,26,3,8,9,2,Labubu,completionist,Europe,1
54,130.24,28,1,2,2,7,Labubu,completionist,East Asia,0
22,81.62,18,5,2,5,2,Crybaby,reseller,North America,0
39,53.53,18,3,1,3,7,Skullpanda,display-focused,Oceania,1
23,91.21,21,5,10,6,3,Dimoo,display-focused,Southeast Asia,1
53,102.18,30,2,9,9,9,Hirono,display-focused,East Asia,0
45,105.18,24,2,1,3,9,Dimoo,casual,East Asia,1
48,27.87,19,3,2,1,3,Molly,completionist,Oceania,0
33,26.83,22,4,5,0,0,Dimoo,display-focused,North America,0
34,128.02,35,6,9,0,3,Molly,casual,North America,1
41,47.27,23,1,9,4,3,Skullpanda,casual,Southeast Asia,0
47,128.1,18,1,9,10,4,Labubu,reseller,North America,1
49,133.06,19,2,9,2,6,Crybaby,casual,East Asia,1
16,52.84,34,1,6,4,10,Skullpanda,display-focused,Europe,1
42,56.78,17,3,3,7,0,Labubu,casual,North America,0
20,114.6,16,2,6,7,6,Dimoo,casual,North America,0
27,73.04,25,3,5,2,1,Labubu,reseller,Southeast Asia,1
49,141.38,28,3,10,1,6,Skullpanda,casual,North America,1
26,158.17,25,3,4,1,7,Hirono,casual,North America,1
47,53.51,20,5,8,2,8,Hirono,trend-chaser,Europe,1
34,62.05,31,5,1,0,6,Dimoo,display-focused,North America,1
25,89.32,28,5,7,5,1,Skullpanda,completionist,East Asia,0
29,35.76,17,1,4,7,10,Skullpanda,completionist,Oceania,1
37,41.32,24,3,4,7,4,Labubu,casual,East Asia,1
46,59.36,36,3,8,9,5,Dimoo,display-focused,East Asia,1
40,181.78,32,1,5,3,7,Skullpanda,display-focused,Europe,1
53,94.82,29,2,0,7,2,Labubu,casual,Oceania,1
50,65.93,35,1,4,9,10,Labubu,casual,Southeast Asia,1
46,56.61,21,1,10,0,0,Labubu,completionist,Southeast Asia,0
40,52.62,20,1,10,8,1,Molly,casual,North America,0
27,67.79,12,3,6,0,10,Labubu,casual,North America,1
32,66.29,31,3,7,6,4,Molly,completionist,North America,1
20,78.19,31,6,2,9,9,Skullpanda,display-focused,North America,1
30,104.17,21,2,8,5,9,Skullpanda,completionist,North America,1
53,82.99,23,2,6,6,10,Labubu,casual,Southeast Asia,1
33,117.44,30,0,0,6,7,Skullpanda,completionist,North America,1
20,75.98,25,3,10,6,7,Hirono,trend-chaser,North America,0
42,163.45,22,4,9,8,6,Molly,completionist,Southeast Asia,1
54,116.25,22,2,0,9,7,Molly,trend-chaser,Oceania,1
50,93.78,21,3,4,1,2,Skullpanda,display-focused,North America,1
26,104.32,24,1,8,4,8,Labubu,casual,North America,1
34,68.51,36,6,8,9,2,Molly,display-focused,Southeast Asia,1
37,77.69,24,4,1,4,5,Skullpanda,display-focused,Oceania,1
25,76.5,16,3,0,5,4,Molly,trend-chaser,East Asia,1
26,62.93,25,5,10,8,8,Hirono,display-focused,Europe,1
25,49.34,19,3,9,10,2,Hirono,display-focused,East Asia,1
55,106.64,31,2,8,2,2,Molly,trend-chaser,Southeast Asia,1
45,125.17,29,5,7,10,8,Skullpanda,casual,North America,1
49,100.45,29,1,7,7,5,Crybaby,completionist,Europe,0
48,82.89,22,1,5,0,7,Skullpanda,display-focused,Southeast Asia,1
54,195.51,18,2,7,9,9,Crybaby,trend-chaser,East Asia,1
20,65.61,32,4,3,4,9,Hirono,casual,North America,1
51,95.07,18,4,0,3,4,Molly,reseller,East Asia,1
18,132.75,31,2,3,5,1,Labubu,completionist,East Asia,1
35,54.64,23,4,3,6,10,Labubu,trend-chaser,North America,1
39,110.0,16,2,3,5,3,Hirono,trend-chaser,Europe,0
30,168.16,30,3,5,0,8,Molly,reseller,North America,1
21,85.65,14,3,1,9,8,Dimoo,casual,Oceania,1
23,91.64,30,3,4,3,4,Skullpanda,display-focused,North America,1
48,65.76,18,6,5,1,1,Hirono,trend-chaser,Southeast Asia,1
28,103.83,24,2,2,6,5,Dimoo,completionist,East Asia,1
28,62.34,23,0,4,6,1,Labubu,trend-chaser,Southeast Asia,1
52,83.62,27,2,7,1,3,Molly,reseller,Oceania,1
21,47.16,22,2,4,10,4,Skullpanda,display-focused,Oceania,1
52,30.81,30,2,0,6,5,Hirono,casual,Southeast Asia,0
52,70.86,21,4,7,10,2,Dimoo,display-focused,Europe,1
39,70.41,29,2,6,7,9,Skullpanda,completionist,North America,1
22,73.24,19,4,4,0,0,Hirono,display-focused,North America,0
22,114.79,26,2,0,2,10,Skullpanda,casual,East Asia,1
27,126.65,17,1,0,10,3,Labubu,reseller,Europe,1
39,96.68,29,2,0,6,5,Hirono,casual,Europe,1
22,111.46,20,3,9,1,9,Skullpanda,display-focused,North America,1
34,63.03,20,3,3,0,7,Hirono,display-focused,Southeast Asia,0
20,57.32,21,2,4,5,0,Molly,display-focused,North America,1
37,104.69,32,3,7,6,6,Skullpanda,casual,North America,1
16,54.37,21,5,7,2,6,Molly,reseller,East Asia,1
44,52.15,19,3,0,2,10,Molly,trend-chaser,East Asia,0
18,241.6,27,6,10,6,6,Labubu,completionist,Southeast Asia,1
23,87.87,27,2,2,4,10,Dimoo,trend-chaser,East Asia,1
22,70.43,22,3,8,0,5,Molly,casual,Southeast Asia,1
49,67.33,27,5,9,0,2,Molly,casual,North America,1
18,47.63,21,2,5,2,5,Molly,casual,North America,0
33,95.86,22,1,1,6,10,Skullpanda,reseller,East Asia,1
39,75.91,34,2,5,3,0,Skullpanda,casual,North America,1
36,125.14,16,5,2,0,4,Dimoo,trend-chaser,Southeast Asia,1
43,106.03,18,1,9,10,0,Dimoo,completionist,Oceania,1
48,74.9,20,3,8,7,9,Skullpanda,reseller,North America,1
31,38.61,29,2,9,6,5,Skullpanda,display-focused,Southeast Asia,1
49,87.97,23,3,9,2,7,Labubu,reseller,Europe,1
28,84.82,25,2,1,7,10,Skullpanda,display-focused,North America,1
55,36.09,29,4,0,10,9,Hirono,completionist,Europe,1
36,101.06,16,5,6,7,4,Skullpanda,reseller,East Asia,1
45,53.69,26,4,6,3,10,Crybaby,casual,Oceania,1
51,127.88,23,9,9,4,5,Labubu,trend-chaser,North America,1
47,82.77,27,2,7,10,10,Dimoo,completionist,East Asia,1
50,66.6,29,2,8,0,10,Dimoo,reseller,North America,1
37,92.96,31,7,3,2,2,Dimoo,casual,North America,0
17,90.65,26,2,1,1,8,Dimoo,casual,East Asia,1
35,89.31,30,3,0,7,7,Labubu,casual,Southeast Asia,1
23,120.79,29,2,4,5,8,Dimoo,completionist,East Asia,1
51,95.25,24,3,0,1,1,Skullpanda,casual,Oceania,1
25,64.33,23,1,5,10,5,Skullpanda,trend-chaser,North America,1
25,76.82,24,6,4,6,1,Labubu,trend-chaser,East Asia,1
25,147.02,24,3,2,2,9,Labubu,casual,North America,1
41,62.14,31,3,6,10,9,Crybaby,reseller,Southeast Asia,1
38,100.39,25,2,7,7,6,Molly,casual,North America,1
53,122.65,22,1,0,1,1,Molly,display-focused,North America,0
32,104.35,18,1,5,9,7,Labubu,casual,Southeast Asia,0
27,88.18,24,5,10,0,4,Dimoo,trend-chaser,Europe,1
17,93.69,20,6,3,9,8,Dimoo,trend-chaser,East Asia,1
16,107.04,26,1,8,4,1,Crybaby,casual,Oceania,0
30,61.86,23,1,3,3,4,Skullpanda,casual,Europe,1
53,85.04,29,0,2,0,3,Molly,display-focused,East Asia,0
36,195.01,27,3,9,10,10,Labubu,completionist,Oceania,1
51,101.65,26,4,3,6,3,Molly,casual,East Asia,1
20,89.44,28,1,9,6,10,Dimoo,trend-chaser,North America,1
19,73.81,25,7,7,9,10,Crybaby,trend-chaser,Southeast Asia,1
49,62.12,12,2,8,5,6,Labubu,display-focused,Europe,0
20,94.96,16,4,8,3,1,Molly,trend-chaser,Southeast Asia,0
18,97.62,19,5,10,8,2,Dimoo,completionist,East Asia,1
32,82.78,30,2,6,5,0,Skullpanda,completionist,North America,0
52,229.95,22,2,10,2,8,Dimoo,reseller,Southeast Asia,1
43,64.18,18,3,0,9,7,Skullpanda,display-focused,North America,1
19,58.55,25,3,5,8,3,Molly,completionist,Southeast Asia,1
49,74.22,20,2,4,2,8,Skullpanda,casual,Southeast Asia,1
49,83.84,17,2,1,7,6,Molly,completionist,Oceania,0
48,60.91,12,3,9,10,8,Dimoo,casual,North America,0
52,94.04,25,5,8,8,0,Labubu,casual,Europe,1
25,98.14,18,3,8,2,2,Skullpanda,display-focused,North America,1
55,112.21,22,6,6,9,8,Crybaby,display-focused,Europe,1
28,69.61,27,2,6,0,4,Skullpanda,casual,Europe,0
48,141.77,34,2,4,6,10,Labubu,casual,East Asia,1
39,109.13,25,3,7,5,9,Crybaby,trend-chaser,Europe,1
47,63.68,21,3,10,0,1,Molly,completionist,Oceania,1
41,60.8,33,4,2,7,4,Dimoo,display-focused,North America,1
41,76.2,24,3,3,3,8,Labubu,trend-chaser,Europe,1
40,98.23,28,1,1,9,1,Hirono,trend-chaser,East Asia,0
47,104.01,20,4,9,9,9,Labubu,casual,North America,1
45,109.04,20,2,5,6,1,Molly,completionist,East Asia,1
21,189.43,14,3,6,6,1,Crybaby,display-focused,East Asia,1
49,40.37,23,2,2,0,5,Skullpanda,completionist,East Asia,1
37,42.35,24,5,0,9,2,Molly,completionist,East Asia,1
28,81.89,23,1,8,7,7,Labubu,casual,Southeast Asia,1
36,182.41,19,3,9,4,4,Labubu,display-focused,Oceania,1
54,114.32,22,5,3,0,2,Molly,casual,North America,0
50,57.2,28,3,8,5,9,Skullpanda,completionist,Europe,1
49,92.14,23,3,6,9,1,Skullpanda,casual,Southeast Asia,0
34,79.98,18,2,7,9,5,Crybaby,reseller,North America,0
47,78.86,20,3,1,1,1,Hirono,completionist,East Asia,0
31,69.1,15,4,6,8,1,Crybaby,casual,East Asia,0
43,89.18,26,3,1,0,2,Skullpanda,reseller,North America,1
41,130.7,12,5,2,4,2,Skullpanda,casual,Europe,0
25,71.49,27,1,3,4,4,Skullpanda,completionist,Southeast Asia,1
26,109.37,23,2,2,0,5,Molly,display-focused,North America,1
18,117.16,26,2,10,1,1,Labubu,casual,North America,1
21,141.28,19,3,0,9,0,Hirono,casual,Southeast Asia,0
33,60.41,32,4,9,6,1,Dimoo,casual,Southeast Asia,0
35,86.39,21,2,1,8,6,Molly,reseller,East Asia,1
22,66.06,21,3,9,6,10,Skullpanda,completionist,Europe,1
32,89.25,24,2,3,4,0,Labubu,casual,North America,0
40,89.01,21,1,10,0,0,Skullpanda,casual,Southeast Asia,0
25,54.89,19,5,5,6,8,Molly,trend-chaser,North America,1
29,91.34,33,1,5,8,7,Hirono,casual,Southeast Asia,1
30,193.65,23,2,1,2,8,Skullpanda,display-focused,Southeast Asia,1
36,104.17,16,3,4,5,1,Molly,completionist,North America,1
30,50.84,20,3,6,4,9,Dimoo,casual,East Asia,1
45,59.01,23,7,10,9,6,Crybaby,trend-chaser,Southeast Asia,1
29,84.66,17,3,2,1,1,Hirono,casual,Southeast Asia,0
33,59.52,35,6,0,1,1,Skullpanda,trend-chaser,East Asia,1
31,138.09,26,3,2,2,6,Molly,display-focused,North America,1
23,48.68,29,3,2,1,8,Dimoo,casual,East Asia,0
43,104.46,28,2,10,9,8,Hirono,display-focused,East Asia,1
25,45.11,28,2,1,2,6,Crybaby,trend-chaser,East Asia,1
27,84.13,30,1,10,3,5,Skullpanda,completionist,North America,0
47,56.33,19,5,1,2,7,Dimoo,casual,Southeast Asia,0
53,112.11,17,3,8,8,1,Molly,trend-chaser,Europe,1
42,128.43,21,1,4,7,4,Labubu,casual,North America,1
52,98.12,31,5,0,5,1,Molly,casual,North America,1
50,130.88,24,5,6,8,9,Labubu,casual,North America,1
35,33.29,27,4,8,0,6,Skullpanda,trend-chaser,Europe,0
46,90.88,25,0,9,7,8,Molly,casual,North America,0
29,103.87,21,2,1,3,5,Dimoo,casual,Europe,0
34,109.27,33,2,6,4,10,Dimoo,trend-chaser,North America,1
37,40.62,21,1,6,1,10,Labubu,completionist,North America,1
54,101.42,28,3,4,1,6,Dimoo,casual,North America,0
49,110.24,26,3,9,7,9,Labubu,completionist,Europe,1
35,90.47,14,2,4,9,7,Labubu,casual,Europe,0
42,51.02,21,3,4,10,7,Crybaby,display-focused,Europe,1
24,68.9,14,5,5,2,2,Labubu,display-focused,East Asia,0
48,138.39,28,6,10,8,10,Molly,completionist,Europe,1
38,131.88,24,4,9,1,2,Dimoo,reseller,East Asia,1
37,103.1,24,1,7,8,7,Molly,display-focused,North America,1
46,113.08,34,1,0,6,6,Molly,casual,Europe,1
41,125.44,25,0,3,9,1,Dimoo,display-focused,North America,0
18,102.62,23,2,0,0,8,Dimoo,reseller,Europe,0
27,136.74,20,3,1,8,0,Skullpanda,reseller,East Asia,1
23,134.85,22,0,9,5,5,Hirono,reseller,Southeast Asia,1
45,220.3,16,2,8,6,8,Labubu,trend-chaser,East Asia,1
17,70.01,17,2,1,5,1,Skullpanda,trend-chaser,Europe,0
24,70.5,26,2,5,7,3,Labubu,trend-chaser,North America,1
39,29.23,22,2,3,6,5,Labubu,completionist,Oceania,1
43,99.57,25,2,0,4,10,Crybaby,casual,North America,0
36,177.71,33,1,4,4,4,Dimoo,completionist,North America,1
50,141.25,39,2,1,0,1,Labubu,casual,North America,0
52,118.78,27,4,8,7,1,Molly,casual,Oceania,1
21,145.31,16,3,10,7,2,Labubu,display-focused,Southeast Asia,1
54,104.62,24,6,4,6,9,Dimoo,display-focused,North America,1
40,76.55,21,1,2,7,8,Molly,completionist,North America,1
41,196.85,29,7,5,2,4,Crybaby,display-focused,Southeast Asia,1
19,101.54,21,5,10,2,9,Labubu,casual,North America,1
40,133.62,17,5,1,10,10,Molly,trend-chaser,North America,1
45,33.22,25,4,7,10,9,Crybaby,completionist,Europe,1
39,35.25,22,4,1,9,0,Hirono,casual,Europe,0
19,92.02,27,3,3,0,1,Molly,casual,Europe,1
36,59.53,20,4,4,6,7,Skullpanda,casual,East Asia,1
53,95.4,24,3,4,8,4,Hirono,trend-chaser,East Asia,1
44,70.47,28,4,1,0,1,Dimoo,casual,East Asia,0
21,234.72,30,3,8,10,7,Dimoo,trend-chaser,North America,1
54,129.18,21,2,7,8,3,Dimoo,casual,North America,1
54,151.25,26,4,4,3,10,Crybaby,reseller,Southeast Asia,1
22,37.49,22,4,4,5,6,Skullpanda,casual,North America,1
48,118.12,18,2,0,10,2,Labubu,display-focused,Europe,1
32,80.11,20,2,7,9,10,Skullpanda,display-focused,North America,1
39,152.49,25,2,2,9,6,Dimoo,display-focused,North America,1
33,111.1,22,2,3,10,3,Skullpanda,trend-chaser,Europe,1
47,84.72,27,0,9,8,1,Molly,reseller,North America,1
55,53.0,31,3,7,10,6,Dimoo,casual,East Asia,1
47,91.31,29,7,7,10,8,Skullpanda,reseller,Europe,1
53,137.07,20,5,2,0,9,Crybaby,casual,Southeast Asia,1
53,156.25,21,4,5,7,1,Molly,trend-chaser,East Asia,1
19,74.59,29,1,0,3,4,Dimoo,display-focused,North America,1
26,217.38,18,6,2,5,10,Skullpanda,casual,Southeast Asia,1
44,132.59,22,2,8,1,7,Labubu,casual,Southeast Asia,1
39,60.0,27,3,5,7,1,Skullpanda,casual,North America,0
18,54.87,27,3,6,9,10,Labubu,trend-chaser,East Asia,1
19,82.12,33,3,8,4,7,Hirono,display-focused,East Asia,1
36,74.51,35,3,10,7,5,Dimoo,casual,East Asia,1
40,104.96,29,5,0,3,8,Labubu,reseller,North America,1
22,87.48,16,1,6,8,7,Skullpanda,casual,North America,1
22,77.01,12,4,10,0,2,Crybaby,casual,North America,0
21,46.01,20,4,2,9,8,Molly,completionist,North America,1
38,112.5,22,1,9,4,2,Crybaby,casual,Europe,1
16,44.63,34,3,6,5,2,Labubu,trend-chaser,Southeast Asia,1
38,132.77,22,3,3,8,6,Labubu,completionist,Europe,1
35,38.86,29,7,8,0,0,Skullpanda,casual,Europe,0
34,43.73,31,3,9,10,6,Labubu,display-focused,North America,1
43,59.89,20,4,1,6,6,Hirono,casual,Europe,1
36,71.91,17,1,7,10,7,Dimoo,completionist,Southeast Asia,1
45,66.19,35,4,10,6,1,Dimoo,completionist,Southeast Asia,1
46,71.79,18,1,7,2,6,Dimoo,reseller,Europe,0
52,96.17,14,4,6,6,4,Dimoo,display-focused,Europe,1
47,60.43,22,5,1,6,1,Dimoo,reseller,North America,1
36,96.54,24,4,4,10,4,Dimoo,casual,Oceania,1
35,33.35,20,6,9,6,10,Hirono,trend-chaser,North America,1
25,59.56,25,6,8,4,9,Skullpanda,casual,Europe,1
39,42.99,18,2,4,1,1,Molly,trend-chaser,Europe,1
21,132.13,16,2,3,3,9,Skullpanda,display-focused,North America,1
53,63.51,31,8,8,6,6,Skullpanda,casual,North America,1
49,109.6,16,2,10,4,0,Molly,display-focused,Southeast Asia,1
20,40.39,25,6,3,3,10,Molly,trend-chaser,North America,1
47,155.13,27,4,8,0,5,Molly,trend-chaser,North America,1
20,89.54,29,0,3,10,10,Labubu,reseller,North America,1
44,188.51,19,3,9,9,1,Hirono,display-focused,North America,1
19,85.42,22,8,10,2,1,Dimoo,completionist,Oceania,1
35,46.21,26,2,7,1,9,Molly,casual,East Asia,1
42,56.76,12,2,5,9,2,Crybaby,completionist,Southeast Asia,1
45,77.99,25,3,3,9,6,Crybaby,casual,Southeast Asia,1
32,57.58,33,2,0,9,6,Hirono,trend-chaser,East Asia,1
52,126.6,20,4,0,6,10,Labubu,completionist,East Asia,1
46,88.45,25,0,9,8,3,Molly,display-focused,Europe,1
24,57.86,24,10,7,8,8,Skullpanda,completionist,East Asia,1
42,118.46,16,2,2,2,8,Dimoo,display-focused,East Asia,1
45,73.87,37,4,6,5,7,Dimoo,casual,East Asia,1
29,116.21,28,5,9,2,5,Dimoo,casual,Europe,0
45,69.22,18,3,7,8,0,Hirono,casual,East Asia,0
51,106.46,33,5,10,10,2,Crybaby,casual,North America,1
48,72.84,19,8,1,0,6,Skullpanda,completionist,East Asia,1
46,126.62,19,0,0,0,4,Crybaby,reseller,Europe,0
41,40.69,25,5,7,2,2,Hirono,display-focused,East Asia,0
26,51.41,33,2,6,1,7,Molly,trend-chaser,Europe,1
47,80.81,30,1,7,0,5,Hirono,trend-chaser,East Asia,1
30,64.62,26,3,10,10,8,Labubu,casual,East Asia,0
37,71.95,31,8,1,6,6,Labubu,display-focused,North America,1
28,111.55,21,2,10,8,4,Crybaby,trend-chaser,Europe,1
28,71.35,23,3,0,6,1,Skullpanda,casual,North America,1
22,97.95,32,1,5,8,1,Skullpanda,display-focused,North America,0
54,59.4,33,3,9,7,5,Crybaby,trend-chaser,North America,1
21,37.82,22,1,7,1,3,Molly,reseller,Southeast Asia,1
19,115.91,24,4,2,1,7,Labubu,trend-chaser,Southeast Asia,1
53,170.5,19,0,6,5,6,Labubu,trend-chaser,North America,1
38,93.78,18,4,9,4,3,Skullpanda,casual,Southeast Asia,1
33,82.6,29,1,2,9,8,Labubu,completionist,Europe,1
45,89.76,21,5,10,3,6,Labubu,reseller,Southeast Asia,1
31,145.79,28,5,7,3,9,Hirono,casual,Europe,0
21,94.24,35,1,0,5,10,Molly,casual,East Asia,1
45,118.28,33,1,3,2,10,Skullpanda,casual,Europe,1
23,116.08,28,3,9,9,1,Labubu,reseller,North America,1
38,131.18,23,4,3,0,5,Skullpanda,completionist,North America,1
53,81.88,22,7,10,9,0,Dimoo,trend-chaser,East Asia,1
53,68.85,36,5,4,6,9,Skullpanda,display-focused,Southeast Asia,1
30,106.96,20,4,3,9,7,Molly,completionist,East Asia,1
47,127.23,22,4,9,3,2,Molly,casual,Southeast Asia,1
40,137.5,28,2,8,9,6,Labubu,trend-chaser,North America,1
35,153.57,23,7,2,9,6,Labubu,completionist,Southeast Asia,1
21,122.38,28,3,8,5,5,Skullpanda,reseller,Southeast Asia,1
31,67.36,26,5,2,3,5,Labubu,casual,Europe,1
42,93.74,30,3,9,2,10,Labubu,casual,Europe,1
55,90.36,18,3,0,1,8,Labubu,casual,North America,0
16,86.38,32,5,7,6,4,Hirono,reseller,North America,1
44,107.05,30,4,1,10,8,Skullpanda,casual,North America,1
49,78.86,29,6,7,6,1,Skullpanda,trend-chaser,East Asia,1
54,78.9,16,7,10,10,3,Skullpanda,casual,Southeast Asia,1
32,175.11,16,2,7,8,1,Molly,completionist,North America,0
20,83.62,24,3,4,7,9,Molly,casual,Southeast Asia,1
26,130.78,20,2,9,7,0,Molly,casual,Southeast Asia,1
50,134.02,21,3,2,10,9,Skullpanda,completionist,East Asia,1
51,94.8,29,4,5,9,9,Molly,display-focused,Oceania,1
41,80.15,24,1,10,1,10,Labubu,display-focused,Southeast Asia,1
20,60.33,28,4,3,6,8,Crybaby,completionist,North America,1
20,44.39,19,2,0,5,5,Dimoo,display-focused,Oceania,1
35,110.24,18,4,4,9,8,Labubu,completionist,Europe,1
39,101.07,25,1,5,2,10,Crybaby,completionist,North America,1
17,117.03,43,3,8,9,9,Labubu,casual,North America,1
43,70.59,30,2,8,5,8,Labubu,display-focused,East Asia,1
37,183.02,36,4,3,10,8,Labubu,casual,Oceania,1
16,104.77,27,2,8,8,7,Crybaby,casual,Europe,1
19,82.34,22,5,1,3,9,Labubu,casual,East Asia,1
34,37.06,22,2,2,9,4,Hirono,completionist,North America,1
44,73.75,34,9,6,2,5,Dimoo,casual,Southeast Asia,1
49,119.37,15,3,7,0,9,Skullpanda,trend-chaser,North America,1
33,151.84,16,3,8,5,2,Molly,reseller,East Asia,1
27,87.6,20,2,6,4,8,Labubu,casual,East Asia,0
54,162.63,32,1,1,1,1,Dimoo,completionist,North America,1
34,58.58,23,5,7,10,6,Molly,casual,Oceania,1
28,102.34,29,2,4,0,0,Skullpanda,casual,Oceania,0
33,103.54,22,3,2,6,10,Labubu,trend-chaser,Europe,1
16,110.61,18,4,3,2,9,Hirono,display-focused,East Asia,1
28,92.51,26,3,8,3,2,Dimoo,casual,Southeast Asia,0
36,100.03,18,4,1,2,1,Skullpanda,trend-chaser,North America,1
52,58.04,14,7,6,4,7,Skullpanda,trend-chaser,North America,1
45,145.5,18,3,0,7,9,Molly,completionist,East Asia,1
47,125.3,14,2,7,3,3,Molly,completionist,East Asia,1
37,98.42,27,1,1,7,10,Labubu,reseller,East Asia,1
20,126.55,38,0,10,4,5,Dimoo,reseller,East Asia,1
31,147.51,26,1,9,8,4,Labubu,display-focused,East Asia,1
55,109.94,16,4,9,4,3,Labubu,trend-chaser,North America,1
17,191.86,26,3,3,4,2,Labubu,completionist,North America,1
51,113.75,17,1,8,5,3,Labubu,casual,North America,1
43,61.51,18,3,1,7,1,Skullpanda,casual,Europe,0
27,96.39,28,2,3,5,4,Dimoo,display-focused,East Asia,1
47,128.65,18,4,1,9,3,Skullpanda,casual,Southeast Asia,1
49,147.57,23,2,0,5,0,Molly,casual,Europe,0
17,93.31,24,8,4,3,3,Skullpanda,display-focused,East Asia,1
20,59.65,33,2,6,0,0,Skullpanda,trend-chaser,North America,1
42,79.46,18,2,9,4,1,Hirono,casual,Europe,1
55,49.93,26,5,0,0,7,Hirono,casual,Oceania,1
16,118.66,22,1,4,0,0,Hirono,trend-chaser,North America,0
42,73.38,18,3,7,4,3,Hirono,display-focused,Southeast Asia,0
21,65.25,21,1,2,3,7,Hirono,reseller,North America,0
42,123.54,19,4,8,9,0,Skullpanda,completionist,Europe,1
40,161.19,26,2,6,8,8,Skullpanda,completionist,East Asia,1
19,65.14,29,2,6,8,0,Dimoo,casual,Southeast Asia,0
43,93.56,23,6,1,6,0,Labubu,display-focused,East Asia,1
51,80.8,30,2,1,1,2,Molly,completionist,Southeast Asia,0
50,150.53,27,2,9,9,9,Crybaby,casual,Southeast Asia,1
17,84.55,22,4,9,5,0,Skullpanda,casual,East Asia,0
25,57.51,23,4,4,4,1,Labubu,display-focused,Europe,0
25,86.18,31,1,6,6,10,Molly,completionist,Europe,0
34,136.98,27,1,5,1,6,Labubu,display-focused,East Asia,1
21,78.9,27,5,5,5,6,Molly,completionist,East Asia,0
50,67.81,15,3,7,6,0,Skullpanda,reseller,Europe,1
47,83.02,14,3,6,7,4,Skullpanda,casual,Europe,1
48,58.21,29,2,1,5,6,Skullpanda,trend-chaser,North America,1
23,80.75,27,6,0,10,5,Labubu,trend-chaser,North America,1
16,69.83,20,3,9,10,5,Skullpanda,casual,Europe,1
52,207.59,27,3,8,1,1,Labubu,display-focused,Southeast Asia,1
27,39.82,39,5,2,0,10,Molly,display-focused,Southeast Asia,1
42,61.41,13,3,0,5,7,Dimoo,trend-chaser,Oceania,0
52,67.79,26,0,2,9,2,Labubu,display-focused,East Asia,1
17,58.36,21,1,6,5,10,Crybaby,display-focused,North America,1
16,102.75,18,4,6,2,3,Dimoo,trend-chaser,East Asia,0
16,64.69,27,5,1,6,1,Labubu,completionist,Southeast Asia,1
22,47.99,22,3,1,10,9,Molly,casual,East Asia,1
18,90.18,17,3,2,1,1,Labubu,completionist,Europe,1
48,77.08,28,4,4,4,0,Labubu,reseller,East Asia,0
40,65.88,20,2,2,7,6,Crybaby,display-focused,North America,0
